Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2022,Thailand,Cambodia,THA,KHM,239,104,0,0,0,0,0
2022,Thailand,China,THA,CHN,172,79,0,0,0,0,0
2022,Thailand,Cameroon,THA,CMR,60,19,0,0,0,0,0
2022,Thailand,"Dem. Rep. of the Congo",THA,COD,18,5,0,0,0,0,0
2022,Thailand,Ethiopia,THA,ETH,10,12,0,0,0,0,0
2022,Thailand,"State of Palestine",THA,PSE,186,6,0,0,0,0,0
2022,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2022,Thailand,"Cote d'Ivoire",THA,CIV,18,0,0,0,0,0,0
2022,Thailand,"Iran (Islamic Rep. of)",THA,IRN,82,10,0,0,0,0,0
2022,Thailand,Iraq,THA,IRQ,139,12,0,0,0,0,0
2022,Thailand,"Lao People's Dem. Rep.",THA,LAO,6,5,0,0,0,0,0
2022,Thailand,Lebanon,THA,LBN,0,5,0,0,0,0,0
2022,Thailand,"Sri Lanka",THA,LKA,100,15,0,0,0,0,0
2022,Thailand,Morocco,THA,MAR,5,5,0,0,0,0,0
2022,Thailand,Myanmar,THA,MMR,90619,0,0,0,0,0,321
2022,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2022,Thailand,Nigeria,THA,NGA,5,12,0,0,0,0,0
2022,Thailand,Pakistan,THA,PAK,1270,183,0,0,0,0,0
2022,Thailand,"Russian Federation",THA,RUS,5,0,0,0,0,0,0
2022,Thailand,Somalia,THA,SOM,160,5,0,0,0,0,0
2022,Thailand,"Viet Nam",THA,VNM,969,410,0,0,0,0,0
2022,Thailand,Stateless,THA,XXA,0,0,0,0,574219,0,0
2022,Thailand,Sudan,THA,SDN,0,5,0,0,0,0,0
2022,Thailand,"Syrian Arab Rep.",THA,SYR,208,6,0,0,0,0,0
2022,Thailand,"United Rep. of Tanzania",THA,TZA,5,0,0,0,0,0,0
2022,Thailand,Yemen,THA,YEM,36,5,0,0,0,0,0
2022,Thailand,Zimbabwe,THA,ZWE,9,0,0,0,0,0,0
2025,Thailand,Afghanistan,THA,AFG,142,189,0,0,0,0,0
2025,Thailand,Egypt,THA,EGY,15,0,0,0,0,0,0
2025,Thailand,Cambodia,THA,KHM,297,70,0,0,0,0,0
2025,Thailand,China,THA,CHN,131,52,0,0,0,0,0
2025,Thailand,Cameroon,THA,CMR,99,18,0,0,0,0,0
2025,Thailand,"Dem. Rep. of the Congo",THA,COD,13,7,0,0,0,0,0
2025,Thailand,Ethiopia,THA,ETH,20,64,0,0,0,0,0
2025,Thailand,"State of Palestine",THA,PSE,128,5,0,0,0,0,0
2025,Thailand,Guinea,THA,GIN,9,0,0,0,0,0,0
2025,Thailand,"Cote d'Ivoire",THA,CIV,17,0,0,0,0,0,0
2025,Thailand,"Iran (Islamic Rep. of)",THA,IRN,67,13,0,0,0,0,0
2025,Thailand,Iraq,THA,IRQ,100,7,0,0,0,0,0
2025,Thailand,Jordan,THA,JOR,0,5,0,0,0,0,0
2025,Thailand,Kuwait,THA,KWT,6,0,0,0,0,0,0
2025,Thailand,"Lao People's Dem. Rep.",THA,LAO,6,0,0,0,0,0,0
2025,Thailand,"Sri Lanka",THA,LKA,70,28,0,0,0,0,0
2025,Thailand,Morocco,THA,MAR,5,5,0,0,0,0,0
2025,Thailand,Myanmar,THA,MMR,80411,0,0,0,0,0,464
2025,Thailand,Nepal,THA,NPL,5,0,0,0,0,0,0
2025,Thailand,Nigeria,THA,NGA,0,10,0,0,0,0,0
2025,Thailand,Pakistan,THA,PAK,1182,934,0,0,0,0,0
2025,Thailand,"Russian Federation",THA,RUS,0,12,0,0,0,0,0
2025,Thailand,Somalia,THA,SOM,122,52,0,0,0,0,0
2025,Thailand,"Viet Nam",THA,VNM,940,1356,0,0,0,0,0
2025,Thailand,Stateless,THA,XXA,0,0,0,0,610791,0,0
2025,Thailand,Sudan,THA,SDN,18,6,0,0,0,0,0
2025,Thailand,"Syrian Arab Rep.",THA,SYR,184,31,0,0,0,0,0
2025,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2025,Thailand,Yemen,THA,YEM,30,11,0,0,0,0,0
